home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Thunder,Pelicans,122,0.4839,0.3704,0.8148,9,32,26,15,3,12,116,0.4881,0.3103,0.8621,11,34,27,8,5,20,1,2018-11-05
Magic,Cavaliers,102,0.4483,0.3235,0.3824,10,30,22,11,5,15,100,0.5125,0.4348,0.3478,8,34,20,8,2,18,1,2018-11-05
Jazz,Raptors,111,0.4419,0.2581,0.871,12,28,29,10,4,12,124,0.5698,0.3939,0.3939,7,36,21,9,3,14,0,2018-11-05
Trail Blazers,Bucks,118,0.5275,0.3953,0.1163,11,40,23,7,3,12,103,0.4348,0.381,0.1667,12,30,26,2,1,11,1,2018-11-06
Mavericks,Wizards,119,0.4756,0.4412,0.7647,10,40,25,4,6,17,100,0.4253,0.3143,0.4286,5,27,27,8,6,10,1,2018-11-06
Hornets,Hawks,113,0.4891,0.4194,0.3226,8,35,27,9,4,21,102,0.4824,0.2,0.4667,7,30,22,13,9,22,1,2018-11-06
Suns,Nets,82,0.3457,0.36,0.68,9,40,16,4,3,20,104,0.4457,0.25,0.3611,13,39,22,9,5,10,0,2018-11-06
Jazz,Mavericks,117,0.4831,0.3514,0.4865,8,27,31,12,10,11,102,0.3973,0.3333,1.5,12,37,14,3,4,24,1,2018-11-07
Hawks,Knicks,107,0.4022,0.2895,0.5789,15,30,26,5,9,17,112,0.4416,0.3667,1.1,11,37,15,8,7,16,0,2018-11-07
Lakers,Timberwolves,114,0.4835,0.4412,0.3235,12,35,32,6,4,16,110,0.4505,0.5,0.2,11,29,22,10,5,15,1,2018-11-07
Pacers,76ers,94,0.3936,0.2581,0.3871,8,33,19,9,6,9,100,0.4557,0.3125,0.5625,5,38,24,7,8,16,0,2018-11-07
Pelicans,Bulls,107,0.4468,0.3667,0.4,11,44,32,5,10,15,98,0.3958,0.2903,0.4194,7,39,18,9,7,11,1,2018-11-07
Grizzlies,Nuggets,89,0.4286,0.381,1.0,8,28,19,7,7,17,87,0.3902,0.25,0.4688,13,28,19,9,3,16,1,2018-11-07
Heat,Spurs,95,0.3871,0.3125,0.4062,14,46,21,8,11,13,88,0.3298,0.4062,0.4062,12,37,19,8,5,12,1,2018-11-07
Cavaliers,Thunder,86,0.3708,0.2903,0.3548,12,39,17,3,4,19,95,0.4167,0.2593,0.6667,7,37,10,13,9,12,0,2018-11-07
Magic,Pistons,96,0.4598,0.3333,0.2593,6,34,28,10,8,20,103,0.4111,0.2973,0.4865,13,37,21,13,1,19,0,2018-11-07
