home_team,away_team,pts_h,fg%_h,3pt%_h,ft%_h,oreb_h,dreb_h,ast_h,stl_h,blk_h,to_h,pts_a,fg%_a,3pt%_a,ft%_a,oreb_a,dreb_a,ast_a,stl_a,blk_a,to_a,outcome,date
Suns,Magic,112,0.4681,0.2083,0.7917,12,28,13,8,5,15,128,0.5244,0.4643,1.0357,7,37,29,8,5,18,0,2017-11-02
Warriors,Suns,129,0.5843,0.4231,0.5385,7,42,36,8,16,11,83,0.3474,0.1304,0.6087,15,32,13,2,3,15,1,2017-11-02
Bucks,Nuggets,123,0.5326,0.3462,0.6154,11,29,27,9,5,16,134,0.5529,0.6,0.4,8,26,37,9,6,18,0,2017-11-03
Suns,Timberwolves,118,0.5349,0.3846,0.6154,7,39,21,4,10,18,110,0.4062,0.2,1.4,19,28,16,12,4,11,1,2017-11-03
Magic,Heat,111,0.5432,0.4444,0.4074,9,28,31,2,9,12,117,0.5114,0.5,0.625,11,29,24,6,2,8,0,2017-11-03
Jazz,Rockets,85,0.4366,0.2414,0.5517,7,32,21,6,4,22,96,0.4304,0.2727,0.5758,9,31,15,15,2,15,0,2017-11-03
Raptors,Cavaliers,133,0.5,0.4286,0.2143,18,45,31,3,7,9,99,0.382,0.2308,0.9615,9,26,18,3,4,9,1,2017-11-03
76ers,Suns,101,0.4286,0.2333,0.5333,13,34,23,9,6,14,115,0.4835,0.4545,0.7727,15,31,25,10,9,11,0,2017-11-03
Magic,Spurs,114,0.5714,0.4783,0.3043,6,39,22,9,7,17,87,0.3371,0.1667,0.9583,17,32,19,8,8,17,1,2017-11-03
Hawks,Pistons,118,0.4872,0.3448,1.1034,4,31,27,10,3,13,115,0.4578,0.3939,0.7879,12,28,30,6,4,15,1,2017-11-03
Lakers,Nets,124,0.5106,0.4286,0.9048,7,50,26,10,7,16,112,0.4066,0.2368,0.7632,8,35,23,8,5,16,1,2017-11-03
Knicks,Jazz,106,0.4691,0.4286,1.0,12,33,18,4,5,11,101,0.4304,0.4857,0.4571,9,28,19,5,10,13,1,2017-11-03
Thunder,Celtics,94,0.4023,0.3714,0.3143,11,37,20,4,7,12,101,0.4286,0.4643,0.5714,11,38,23,6,2,10,0,2017-11-03
Heat,Kings,88,0.37799999999999995,0.3529,0.4118,7,39,19,8,4,13,89,0.4691,0.4167,0.6667,5,33,17,3,6,13,0,2017-11-03
Trail Blazers,Warriors,123,0.4839,0.3636,0.6364,13,36,20,9,0,13,117,0.4778,0.3514,0.4865,8,33,24,8,7,16,1,2017-11-04
Thunder,Rockets,112,0.4946,0.3529,0.2353,12,22,18,12,4,19,122,0.5278,0.5152,0.8788,7,30,25,11,7,20,0,2017-11-04
Pistons,Pelicans,103,0.3684,0.2571,0.6857,14,40,18,5,3,14,118,0.44,0.4118,0.4706,10,43,31,6,7,11,0,2017-11-04
Pelicans,Cavaliers,123,0.5158,0.3939,0.3636,10,37,33,10,4,11,101,0.4615,0.375,0.5312,5,32,19,8,2,18,1,2017-11-04
Bucks,Clippers,120,0.5495,0.3077,0.4615,8,25,33,10,5,14,127,0.5233,0.5,0.7333,16,31,26,12,3,19,0,2017-11-04
Raptors,Knicks,107,0.5641,0.3462,0.3846,3,37,29,4,11,12,84,0.3297,0.3913,0.6522,14,29,17,7,4,9,1,2017-11-05
Spurs,Hornets,108,0.4699,0.3333,0.7778,7,38,31,7,6,15,101,0.4125,0.3333,1.125,11,35,16,11,1,12,1,2017-11-05
Magic,Celtics,88,0.3626,0.2069,0.5517,10,35,18,4,4,13,104,0.4382,0.3333,0.4545,9,45,26,10,1,13,0,2017-11-05
Bucks,Pelicans,121,0.4583,0.28,1.04,9,35,21,10,3,13,123,0.4766,0.3333,0.3667,11,39,22,8,7,15,0,2017-11-05
Raptors,Warriors,125,0.4839,0.32,1.08,14,30,22,3,2,10,127,0.5802,0.375,1.0,3,27,28,4,3,6,0,2017-11-05
Pacers,Clippers,109,0.4624,0.3548,0.3871,14,28,25,6,2,9,104,0.5526,0.3846,0.3846,5,27,24,4,3,14,1,2017-11-05
Spurs,Kings,113,0.5,0.44,0.48,13,39,33,4,2,7,98,0.4268,0.5294,0.2941,6,28,21,5,3,9,1,2017-11-05
Suns,Rockets,116,0.4519,0.3333,0.4,16,31,28,9,5,14,142,0.4778,0.4773,0.7955,12,39,27,9,9,14,0,2017-11-05
Suns,Nets,92,0.3488,0.24,1.04,14,38,13,8,7,17,98,0.4023,0.25,0.625,11,37,20,10,4,16,0,2017-11-06
Hawks,Celtics,107,0.4815,0.5,0.6154,5,31,24,8,4,14,110,0.4815,0.3889,0.5,7,35,28,3,3,13,0,2017-11-06
Pelicans,Kings,103,0.5065,0.36,0.64,2,34,26,7,8,15,114,0.4742,0.3846,0.4615,14,35,22,7,1,14,0,2017-11-06
Warriors,Clippers,134,0.6184,0.56,1.04,3,29,31,8,8,15,127,0.5,0.3438,0.875,8,28,32,9,2,14,1,2017-11-06
Timberwolves,Spurs,98,0.4483,0.5,0.6111,11,30,27,9,4,6,86,0.4177,0.2917,0.5417,13,32,20,4,4,16,1,2017-11-07
Heat,Jazz,103,0.4819,0.3103,0.4828,8,29,21,6,6,8,102,0.4512,0.3125,0.5625,8,36,15,6,5,11,1,2017-11-07
Cavaliers,Pacers,107,0.5,0.2258,0.4516,8,33,25,6,3,16,124,0.5444,0.6154,0.3846,8,35,35,9,1,11,0,2017-11-07
Pistons,Hawks,104,0.4217,0.3939,0.6364,10,37,26,3,5,16,98,0.42700000000000005,0.1818,0.4848,8,35,25,9,4,11,1,2017-11-07
Knicks,Clippers,107,0.4321,0.3824,0.7059,14,37,24,11,5,22,85,0.375,0.3125,0.4688,10,26,20,12,3,21,1,2017-11-07
Clippers,Bucks,105,0.4651,0.5357,0.3571,8,33,23,8,4,13,98,0.4578,0.2609,0.6957,8,36,24,12,11,16,1,2017-11-07
Raptors,Pistons,96,0.425,0.3548,0.5484,12,37,24,6,8,20,91,0.4205,0.3571,0.25,11,31,22,14,7,14,1,2017-11-07
Nuggets,Nets,112,0.4731,0.2647,0.4412,9,38,26,16,9,19,104,0.42700000000000005,0.3143,0.4857,8,39,22,12,6,25,1,2017-11-07
76ers,Lakers,104,0.4815,0.3846,0.6154,7,37,29,3,13,18,107,0.4375,0.3929,0.4286,15,29,22,13,7,11,0,2017-11-07
Bucks,Wizards,104,0.4545,0.3846,0.9231,8,32,20,10,9,16,107,0.4773,0.35,0.8,9,31,30,9,6,11,0,2017-11-07
