team,pts,fg%,3pt%,ft%,oreb,dreb,ast,stl,blk,to,date
76ers,121,0.549,0.429,0.571,7,48,28,10,10,10,2018-03-28
Nets,119,0.547,0.487,0.462,4,37,30,3,12,17,2018-03-31
Bucks,111,0.441,0.25,1.2,12,29,21,12,2,8,2018-03-31
Nets,124,0.5,0.436,0.145,5,41,36,11,10,13,2018-04-01
Bulls,96,0.409,0.207,0.621,4,35,16,8,1,13,2018-04-01
Bulls,105,0.483,0.429,0.25,10,34,26,7,6,19,2018-04-03
Nets,114,0.5,0.429,0.333,6,32,32,8,10,17,2018-04-03
Knicks,84,0.405,0.292,0.542,11,30,19,8,4,25,2018-04-05
Thunder,105,0.433,0.289,0.421,13,28,26,14,7,18,2018-04-05
Pistons,111,0.484,0.3,0.467,15,28,21,5,2,12,2018-04-07
Knicks,107,0.457,0.267,0.833,12,27,20,6,2,12,2018-04-07
Knicks,114,0.472,0.464,0.607,11,40,27,9,6,14,2018-04-09
Cavaliers,95,0.383,0.303,0.697,7,34,20,5,5,15,2018-04-09
Nuggets,110,0.412,0.439,0.537,13,23,20,13,5,13,2018-04-11
Knicks,116,0.5,0.406,0.656,11,38,27,8,10,22,2018-04-11
Rockets,119,0.477,0.365,0.308,9,37,21,6,4,14,2017-10-19
Knicks,97,0.433,0.308,0.423,6,36,23,8,1,19,2017-10-19
Suns,107,0.351,0.281,0.938,20,27,17,7,3,10,2017-10-21
Knicks,120,0.517,0.308,0.846,9,40,24,5,7,12,2017-10-21
Pacers,101,0.468,0.48,0.6,4,30,24,6,2,12,2017-10-24
Knicks,108,0.5,0.261,0.609,12,34,24,8,7,12,2017-10-24
Hornets,113,0.462,0.405,0.378,17,23,24,8,2,13,2017-10-27
Knicks,118,0.6,0.48,0.64,6,29,29,5,5,16,2017-10-27
Knicks,99,0.525,0.417,0.833,12,30,26,7,2,23,2017-10-29
Magic,112,0.537,0.464,0.464,6,23,31,16,7,12,2017-10-29
Kings,91,0.375,0.318,1.091,11,31,19,6,4,13,2017-10-30
Knicks,118,0.522,0.444,0.444,8,32,29,6,6,11,2017-10-30
Cavaliers,104,0.398,0.356,0.4,14,34,21,7,7,20,2017-11-01
Knicks,101,0.432,0.32,0.68,13,36,19,13,3,17,2017-11-01
Jazz,101,0.43,0.486,0.457,9,28,19,5,10,13,2017-11-03
Knicks,106,0.469,0.429,1.0,12,33,18,4,5,11,2017-11-03
Knicks,84,0.33,0.391,0.652,14,29,17,7,4,9,2017-11-05
Raptors,107,0.564,0.346,0.385,3,37,29,4,11,12,2017-11-05
Clippers,85,0.375,0.312,0.469,10,26,20,12,3,21,2017-11-07
Knicks,107,0.432,0.382,0.706,14,37,24,11,5,22,2017-11-07
Raptors,100,0.425,0.368,0.316,12,30,21,4,10,15,2017-11-08
Knicks,108,0.462,0.333,0.583,13,34,29,8,7,11,2017-11-08
Knicks,104,0.513,0.4,0.4,5,33,30,1,9,20,2017-11-11
Hawks,116,0.475,0.419,0.29,13,27,30,7,2,9,2017-11-11
Knicks,102,0.494,0.235,0.824,6,34,29,4,3,18,2017-11-13
Rockets,117,0.436,0.383,0.362,9,33,30,12,6,7,2017-11-13
Trail Blazers,103,0.446,0.333,1.048,5,40,18,10,3,9,2017-11-15
Knicks,91,0.398,0.333,1.067,14,37,13,3,3,13,2017-11-15
Heat,86,0.381,0.263,0.316,9,22,21,13,4,15,2017-11-17
Knicks,115,0.603,0.385,1.692,8,44,26,10,5,20,2017-11-17
Magic,105,0.451,0.214,0.893,8,34,19,8,3,10,2017-11-20
Knicks,100,0.462,0.333,0.6,10,35,18,4,4,14,2017-11-20
Knicks,97,0.44,0.261,0.478,15,28,26,4,2,17,2017-11-22
Pacers,115,0.535,0.423,0.462,7,37,28,10,5,16,2017-11-22
Grizzlies,88,0.414,0.429,0.643,4,23,14,8,5,15,2017-11-24
Knicks,99,0.522,0.643,1.429,10,32,22,8,3,17,2017-11-24
